function,n_dim,sigma,a,run,seed,f_best,evals,time_s
Quadratic,30,0.1,10,4,1004,4.945306584238983e-11,3001,0.03299999237060547
Quadratic,30,0.1,10,5,1005,1.1065919530821445e-10,3001,0.029108524322509766
Quadratic,30,0.1,10,6,1006,1.6409003382334615e-10,3001,0.028796672821044922
Quadratic,30,0.1,10,7,1007,2.9275223556134857e-10,3001,0.03296303749084473
Quadratic,30,0.1,10,8,1008,2.734793451170198e-11,3001,0.030435800552368164
Quadratic,30,0.1,10,9,1009,5.835024086901766e-10,3001,0.02851271629333496
Quadratic,30,0.1,100,0,1000,0.00010599999239954112,3001,0.024428606033325195
Quadratic,30,0.1,100,1,1001,0.010905329962938443,2341,0.023152589797973633
Quadratic,30,0.1,100,2,1002,0.00034132116216834457,3001,0.027937650680541992
Quadratic,30,0.1,100,3,1003,0.0010976417901065742,3001,0.025279998779296875
Quadratic,30,0.1,100,4,1004,0.00020925425026074217,3001,0.03441596031188965
Quadratic,30,0.1,100,5,1005,0.0004790953592958412,3001,0.030416250228881836
Quadratic,30,0.1,100,6,1006,0.0005141354061811415,3001,0.03205680847167969
Quadratic,30,0.1,100,7,1007,0.0003744800250753283,3001,0.035683393478393555
Quadratic,30,0.1,100,8,1008,0.0005695601562950097,3001,0.029972076416015625
Quadratic,30,0.1,100,9,1009,0.00047068411837344627,3001,0.06978559494018555
Quadratic,30,1.0,10,0,1000,2.9121854864002595e-10,3001,0.027965307235717773
Quadratic,30,1.0,10,1,1001,6.851671813396639e-11,3001,0.027889251708984375
Quadratic,30,1.0,10,2,1002,6.56730829257846e-10,3001,0.028126239776611328
Quadratic,30,1.0,10,3,1003,8.608075616053266e-10,3001,0.03237009048461914
Quadratic,30,1.0,10,4,1004,4.605933497300652e-10,3001,0.02649545669555664
Quadratic,30,1.0,10,5,1005,6.93422312582847e-11,3001,0.02955937385559082
Quadratic,30,1.0,10,6,1006,5.3861176696715265e-11,3001,0.02949666976928711
Quadratic,30,1.0,10,7,1007,6.548105872214384e-10,3001,0.03851485252380371
Quadratic,30,1.0,10,8,1008,1.7769079418790079e-10,3001,0.03727269172668457
Quadratic,30,1.0,10,9,1009,4.4095262771990336e-10,3001,0.030910730361938477
Quadratic,30,1.0,100,0,1000,0.0005336810758720406,3001,0.028641462326049805
